SYS_ID;聚类;距离
42008;1;14.899
43181;1;5.016
43182;1;4.312
45269;1;7.208
82175;1;7.813
45684;1;.948
42013;1;10.615
43186;1;10.359
43187;1;7.371
42017;2;1.962
42018;1;10.615
45277;1;6.671
45694;1;3.705
43194;1;5.208
40556;1;17.085
45285;1;9.106
45702;1;1.466
43203;1;5.208
45290;1;9.106
82196;1;7.793
45291;1;7.268
43738;2;14.267
45706;1;7.288
40565;1;11.991
45294;1;12.893
45295;1;9.438
43210;1;11.342
45297;1;15.880
70414;1;9.783
45713;1;4.498
70415;1;11.080
40573;1;.126
70418;1;7.321
82207;1;12.158
45303;1;.266
42047;1;23.604
70422;1;3.678
42049;1;23.604
43220;1;4.411
43221;1;5.039
40581;1;24.010
70427;1;22.459
82215;2;15.701
43224;1;4.715
43225;1;3.314
45726;1;2.195
45318;1;4.635
43232;1;1.657
43235;1;11.570
43769;2;23.076
82228;1;9.424
45323;1;1.541
43770;2;24.477
70623;1;16.062
45326;1;9.438
42073;2;2.005
43243;1;1.657
200043;1;15.288
200043;1;15.288
45332;1;12.637
43783;2;9.608
43248;1;10.700
70633;1;16.062
45337;1;7.394
43252;1;3.777
82244;1;1.003
45339;1;15.628
45754;2;17.359
45754;2;17.359
82247;1;1.003
43263;1;11.218
82254;1;1.964
45350;1;3.211
45764;1;24.402
82259;1;6.799
85002;1;.947
82265;1;6.799
45776;1;24.402
40638;2;30.578
82269;1;12.256
43284;1;9.241
85013;1;10.253
45781;2;22.880
43287;1;3.580
85017;1;2.263
82275;1;1.964
85023;1;6.009
82282;1;8.138
45794;1;15.415
40655;2;35.839
70707;1;1.496
70707;1;1.496
82289;1;11.100
43318;1;9.397
45809;2;2.474
85044;1;13.791
85047;1;5.179
70725;1;11.020
82316;1;2.374
43324;1;7.776
43325;1;2.775
43860;1;18.983
82320;1;2.374
43328;1;22.053
85054;1;5.179
45820;1;18.786
42424;2;21.448
82323;1;6.635
85058;1;10.446
43335;1;7.776
70740;1;4.150
70740;1;4.150
82331;1;3.393
43340;1;6.811
85067;1;3.336
43348;1;2.897
42444;2;21.448
85075;1;13.791
43359;1;5.613
70763;1;11.080
70764;1;.082
70764;1;.082
82396;1;23.156
85092;1;15.628
43366;1;.384
82439;1;11.941
40719;2;24.639
85103;1;1.888
43374;1;5.039
43911;2;29.713
85108;1;1.897
43378;1;.384
43379;1;19.912
70796;1;11.511
43916;1;15.653
82455;1;8.309
85115;1;6.009
40736;1;2.086
82458;1;2.550
43923;1;15.577
82461;1;7.440
40740;1;.967
82465;1;7.440
43930;1;15.577
85131;1;6.791
85133;1;1.809
85135;1;3.026
40755;1;2.086
40758;1;10.100
85146;1;2.060
82487;1;3.202
85147;1;9.620
40766;2;19.604
82489;1;13.294
82493;1;12.899
40772;1;7.772
82494;1;9.191
70930;1;7.321
85155;1;13.120
85158;1;3.026
82501;1;12.899
82502;1;5.274
40781;1;9.088
42524;2;43.929
82503;1;9.556
45921;2;4.552
43920;1;10.182
85165;1;3.211
82506;1;9.556
40785;1;7.772
45216;1;9.501
70952;1;6.130
85168;1;2.532
45219;1;4.370
