InputID,TargetID,Distance,QCL_1,QCL_2
70422,70295,.174982077,1,.005129064072698
44428,44448,.175883664,1,.00603065107269798
44563,44558,.175946666,1,.00609365307269799
71101,200048,.176441095,1,.00658808207269798
71101,200395,.176441095,1,.00658808207269798
87226,87320,.176640862,1,.006787849072698
87320,87226,.176640862,1,.006787849072698
85312,85495,.177532285,1,.007679272072698
85495,85312,.177532285,1,.007679272072698
83036,83011,.17774723,1,.007894217072698
85067,85044,.178061949,1,.00820893607269799
82792,82811,.178131605,1,.00827859207269799
82574,82605,.178830895,1,.00897788207269798
82605,82574,.178830895,1,.00897788207269798
45118,45117,.17896982,1,.00911680707269799
45350,85165,.179182548,1,.00932953507269799
85165,45350,.179182548,1,.00932953507269799
82487,82520,.17926274,1,.00940972707269799
44422,44428,.17942507,1,.00957205707269798
45199,85610,.180420146,1,.010567133072698
85610,45199,.180420146,1,.010567133072698
85135,85158,.180839675,1,.010986662072698
85158,85135,.180839675,1,.010986662072698
85325,85292,.182236096,1,.012383083072698
87253,87100,.182321339,1,.012468326072698
87253,87690,.182321339,1,.012468326072698
43325,43324,.183097813,1,.013244800072698
85653,85669,.183438225,1,.013585212072698
45526,80573,.183605543,1,.013752530072698
80573,45526,.183605543,1,.013752530072698
85333,85312,.18360984,1,.013756827072698
85434,85440,.183661287,1,.013808274072698
87355,87616,.183977472,1,.014124459072698
85168,87267,.185277225,1,.015424212072698
85385,85388,.185420013,1,.015567000072698
44384,44385,.18563596,1,.015782947072698
44385,44384,.18563596,1,.015782947072698
45053,45117,.185740398,1,.015887385072698
82316,82320,.186704278,1,.016851265072698
82320,82316,.186704278,1,.016851265072698
87231,87086,.186833179,1,.016980166072698
87231,87217,.186833179,1,.016980166072698
85272,85280,.187284217,1,.017431204072698
87076,87400,.187363469,1,.017510456072698
87400,87076,.187363469,1,.017510456072698
87157,87158,.187413093,1,.017560080072698
87158,87157,.187413093,1,.017560080072698
45662,45726,.188306703,1,.018453690072698
45726,45662,.188306703,1,.018453690072698
95585,95172,.188351316,1,.018498303072698
82828,82512,.188471453,1,.018618440072698
45064,85216,.18862958,1,.018776567072698
85216,45064,.18862958,1,.018776567072698
83017,83034,.188642587,1,.018789574072698
83034,83017,.188642587,1,.018789574072698
40736,40755,.189283075,1,.019430062072698
40755,40736,.189283075,1,.019430062072698
85350,85337,.190308406,1,.020455393072698
85350,85334,.190308406,1,.020455393072698
82254,82275,.190382648,1,.020529635072698
82275,82254,.190382648,1,.020529635072698
44394,44416,.19158943,1,.021736417072698
85133,85135,.191771931,1,.021918918072698
85640,85637,.19178667,1,.021933657072698
82612,82633,.191897628,1,.022044615072698
82563,82569,.193607058,1,.023754045072698
87055,87186,.194428023,1,.024575010072698
70707,70714,.194584323,1,.024731310072698
70707,70711,.194584323,1,.024731310072698
87104,87548,.196431775,1,.026578762072698
83164,83034,.196456095,1,.026603082072698
83168,83099,.196938123,1,.027085110072698
82696,82708,.19734555,1,.027492537072698
41740,41777,.197373734,1,.027520721072698
41777,41740,.197373734,1,.027520721072698
95035,95093,.198091924,1,.028238911072698
45106,85706,.199004887,1,.029151874072698
85706,45106,.199004887,1,.029151874072698
44335,44367,.199714473,1,.029861460072698
82047,82070,.200048145,1,.030195132072698
82070,82047,.200048145,1,.030195132072698
82994,82807,.20011926,1,.030266247072698
45146,45106,.200155905,1,.030302892072698
45127,45121,.20045672,1,.030603707072698
82099,82070,.200787737,1,.030934724072698
87293,87318,.200953941,1,.031100928072698
87318,87293,.200953941,1,.031100928072698
95079,95070,.201197547,1,.031344534072698
87424,87425,.201230239,1,.031377226072698
44320,44392,.201749675,1,.031896662072698
82128,82138,.202023476,1,.032170463072698
82138,82128,.202023476,1,.032170463072698
44342,82058,.202175187,1,.032322174072698
40533,40511,.202701985,1,.032848972072698
87209,87188,.203471673,1,.033618660072698
87599,87619,.204764577,1,.034911564072698
45303,85692,.205639927,1,.035786914072698
40573,40565,.206894686,1,.037041673072698
43420,43497,.206962032,1,.037109019072698
43497,43420,.206962032,1,.037109019072698
70764,70671,.208762804,1,.038909791072698
70764,70674,.208762804,1,.038909791072698
42698,42687,.209080167,1,.039227154072698
85588,45219,.20951045,1,.039657437072698
82053,82063,.209752453,1,.039899440072698
45547,80467,.209809334,1,.039956321072698
80467,45547,.209809334,1,.039956321072698
200050,200433,.20991188,1,.040058867072698
200433,200050,.20991188,1,.040058867072698
87119,87118,.209935261,1,.040082248072698
70920,71057,.211257092,1,.041404079072698
71057,70920,.211257092,1,.041404079072698
43366,43378,.211477323,1,.041624310072698
43378,43366,.211477323,1,.041624310072698
85697,85653,.211563834,1,.041710821072698
85553,45146,.211792264,1,.041939251072698
41341,43021,.211848095,1,.041995082072698
43021,41341,.211848095,1,.041995082072698
95369,95374,.211987293,1,.042134280072698
95374,95369,.211987293,1,.042134280072698
42888,42896,.212090177,1,.042237164072698
83024,82976,.213235915,1,.043382902072698
83024,82975,.213235915,1,.043382902072698
44332,44320,.213645716,1,.043792703072698
82077,82072,.214242761,1,.044389748072698
95349,95502,.214269638,1,.044416625072698
95502,95349,.214269638,1,.044416625072698
87538,87293,.21455013,1,.044697117072698
82091,82102,.214759978,1,.044906965072698
82772,82709,.215012033,1,.045159020072698
85002,85133,.216529819,1,.046676806072698
45684,45674,.216544969,1,.046691956072698
40740,40736,.21671652,1,.046863507072698
82244,82247,.217038877,1,.047185864072698
82247,82244,.217038877,1,.047185864072698
95318,95341,.218167944,1,.048314931072698
87189,87055,.218550462,1,.048697449072698
82967,82901,.218614359,1,.048761346072698
41377,40520,.218654074,1,.048801061072698
40084,40088,.219316628,1,.049463615072698
40088,40084,.219316628,1,.049463615072698
85453,85386,.219554115,1,.049701102072698
85677,85697,.220225795,1,.050372782072698
41900,41906,.220332476,1,.050479463072698
41906,41900,.220332476,1,.050479463072698
45702,82644,.221196713,1,.051343700072698
82644,45702,.221196713,1,.051343700072698
45323,45318,.221866213,1,.052013200072698
82552,82563,.222052182,1,.052199169072698
70617,70618,.222824748,1,.052971735072698
70618,70617,.222824748,1,.052971735072698
