InputID,TargetID,Distance,Distance(km)
45572,45519,0.406977143,45.30469555
40996,40980,0.66582245,74.11935517
70110,70117,0.426031556,47.42583286
85393,85388,0.121052463,13.47556018
87279,87356,0.260295792,28.97612761
42256,42264,0.290865182,32.37911205
82755,82749,0.165471837,18.42032488
87293,87318,0.200953941,22.37019275
96259,200197,0.481011866,53.54624089
44214,44234,0.237837181,26.47603498
70117,70032,0.385662712,42.93197315
87296,87326,0.144836132,16.12315824
85401,85410,0.507671302,56.51396938
42264,42256,0.290865182,32.37911205
82762,82772,0.366173115,40.76239111
42266,42269,0.378687283,42.15546838
95247,95248,0.031885881,3.549536276
95248,95247,0.031885881,3.549536276
42269,42266,0.378687283,42.15546838
87314,87307,0.277883534,30.93399502
85410,85401,0.507671302,56.51396938
87320,87226,0.176640862,19.66366072
200197,96259,0.481011866,53.54624089
41092,41136,0.434724618,48.39354451
82772,82709,0.215012033,23.93513956
95255,82921,0.395384681,44.01422272
42277,42300,0.464953465,51.75861973
70156,70104,0.825852,91.93384465
45603,45530,0.539602531,60.0685537
44234,44214,0.237837181,26.47603498
82783,82632,0.318930438,35.50333631
44244,44234,0.506333798,56.36507841
70178,70610,1.239438002,137.9742383
82792,82811,0.178131605,19.8296103
85434,85440,0.183661287,20.44517447
42300,42277,0.464953465,51.75861973
95280,83044,0.04184855,4.658580616
95280,83046,0.04184855,4.658580616
85440,85386,0.069026833,7.684067012
45629,45372,0.701396965,78.07951018
95285,83069,0.133721521,14.8858797
82803,82792,0.243870399,27.14765277
85447,85434,0.276452992,30.77474703
41130,43441,0.626030801,69.68974872
82807,82811,0.131217425,14.6071237
95291,95248,0.160309473,17.84565058
82811,82807,0.131217425,14.6071237
85453,85386,0.219554115,24.4407641
85458,85453,0.324555092,36.12947281
41154,41145,0.294006468,32.7288
80004,45445,1.394753192,155.2639254
85466,85292,0.047571105,5.295615364
41165,41170,0.434712068,48.3921474
82828,82512,0.188471453,20.98064212
87543,87236,0.119916458,13.3491001
82830,82843,0.086802408,9.662844036
41170,41165,0.434712068,48.3921474
87548,87533,0.1603173,17.84652178
87548,87211,0.1603173,17.84652178
95318,95341,0.218167944,24.28645556
85478,85333,0.325310749,36.2135926
85481,85490,0.329646492,36.69624747
95323,95341,0.145922586,16.2441023
82841,82901,0.166224037,18.50405984
82843,82830,0.086802408,9.662844036
82846,82871,0.133103051,14.8170316
85490,85495,0.230764293,25.68868115
42352,44147,0.574047841,63.9030057
41194,41154,0.469531426,52.26823839
82852,82846,0.145877738,16.23910982
95335,83180,0.321545146,35.79440566
95335,87149,0.321545146,35.79440566
85495,85312,0.177532285,19.76289394
95341,95323,0.145922586,16.2441023
85504,85458,0.422246735,47.00450654
87599,87619,0.204764577,22.79439273
43932,43738,0.791036968,88.05823525
95349,95502,0.214269638,23.85249606
82871,82846,0.133103051,14.8170316
80284,99341,0.68752881,76.53570708
95358,95535,0.421227783,46.89107683
40165,40980,2.918804063,324.9212683
96423,44468,0.286131046,31.85210808
82879,82843,0.13612467,15.15339827
96424,96423,0.677017563,75.3655951
42681,40565,0.100311388,11.16666375
85525,85256,0.349531358,38.90983078
95365,95522,0.362036965,40.30195494
42687,42681,0.120698297,13.43613444
95369,95374,0.211987293,23.59842543
41244,41136,0.243312135,27.08550688
82893,82458,0.348876315,38.83691142
95374,95369,0.211987293,23.59842543
42695,42737,0.357631309,39.81151732
85535,85553,0.23742521,26.43017442
96181,44401,0.243983515,27.16024489
42698,42687,0.209080167,23.27480415
70594,70595,0.777303515,86.52942725
80467,45547,0.209809334,23.35597503
70595,70594,0.777303515,86.52942725
82901,82841,0.166224037,18.50405984
42702,42687,0.485456295,54.04099476
70596,70597,0.656937899,73.13032691
70597,70598,0.316356285,35.21678162
41136,41244,0.243312135,27.08550688
70598,70597,0.316356285,35.21678162
70599,70600,0.257260279,28.63821425
70600,70599,0.257260279,28.63821425
70601,70600,2.864116965,318.8335005
70602,70599,0.261987077,29.16440144
70603,70606,0.336666252,37.47768714
70604,70605,0.4459222,49.64005925
70605,70604,0.4459222,49.64005925
70606,70607,0.079971242,8.902398628
70607,70606,0.079971242,8.902398628
85553,45146,0.211792264,23.57671482
41217,40944,0.398098179,44.31628931
42714,42695,0.382642162,42.59572549
70608,70607,0.271228908,30.19320205
95401,95230,0.613399422,68.28362367
70609,70614,1.255759666,139.7911661
70610,70613,0.850923073,94.72475649
96358,96383,0.226395704,25.20236978
70612,70414,0.120142597,13.37427389
82921,95255,0.395384681,44.01422272
70613,70203,0.408744382,45.50142463
70614,70609,1.255759666,139.7911661
80573,45526,0.183605543,20.4389691
70617,70618,0.222824748,24.80485099
80574,80573,0.382745526,42.60723195
70618,70617,0.222824748,24.80485099
70619,70618,0.399774677,44.50291701
70620,96144,1.317109784,146.6206611
95415,95443,0.172545521,19.20776736
41145,41154,0.294006468,32.7288
88003,87073,0.166605682,18.54654453
95423,95427,0.143124212,15.93258728
95427,95423,0.143124212,15.93258728
44394,44416,0.19158943,21.32773533
82936,82841,0.272188632,30.3000385
41377,40520,0.218654074,24.3405715
85577,85594,0.246616367,27.45333392
42737,42695,0.357631309,39.81151732
44398,44409,0.233006893,25.93832732
80627,45514,0.385315929,42.89336925
96381,96383,0.16686606,18.57552975
42739,42737,0.523726174,58.30119773
44401,44394,0.231019663,25.71710887
85581,42901,0.074822337,8.329222593
96383,96381,0.16686606,18.57552975
41302,40581,0.42371413,47.16785692
200020,87188,0.007829381,0.871566645
95443,95415,0.172545521,19.20776736
42746,42844,0.337357681,37.55465703
85588,45219,0.20951045,23.32270333
44409,44398,0.233006893,25.93832732
85589,85594,0.163504142,18.20128113
41313,41302,0.424921625,47.30227531
200022,87011,0.062862432,6.997845881
200022,87012,0.062862432,6.997845881
85594,85589,0.163504142,18.20128113
44416,44448,0.138076315,15.37065542
85596,85610,0.329423016,36.67137011
41319,41323,0.497887932,55.42488456
42760,42746,0.403241249,44.88881588
85601,85596,0.33569742,37.36983685
88352,87220,0.054798485,6.100167371
44422,44428,0.17942507,19.97359876
41323,41347,0.496337212,55.25225847
82967,82901,0.218614359,24.3361504
95470,70312,0.127792342,14.22584353
44428,44448,0.175883664,19.57936946
96023,96030,0.394966553,43.96767672
82971,82994,0.264084407,29.39787616
85610,45199,0.180420146,20.08437066
95478,95482,0.13714374,15.26684111
96030,96023,0.394966553,43.96767672
42777,42782,0.271408139,30.21315398
42778,42777,0.28693815,31.94195483
85619,85637,0.290957598,32.38939984
95482,95478,0.13714374,15.26684111
41341,43021,0.211848095,23.58292998
42782,43224,0.250378125,27.87209287
44445,44409,0.389667292,43.37776289
41347,41323,0.496337212,55.25225847
44448,44416,0.138076315,15.37065542
41256,43446,0.267530576,29.7815037
43420,43497,0.206962032,23.03901338
42791,42856,0.229184664,25.51283678
82994,82807,0.20011926,22.27727599
95495,70422,0.226194084,25.17992544
43423,43506,0.091487033,10.18433651
85634,85637,0.126235438,14.05252895
42794,82147,0.14723865,16.39060653
42794,82143,0.14723865,16.39060653
85637,85634,0.126235438,14.05252895
95502,95349,0.214269638,23.85249606
96107,96113,0.428726656,47.72585139
85640,85637,0.19178667,21.34969206
85642,85634,0.41214036,45.87946484
85644,85344,0.523812236,58.31077806
44468,96423,0.286131046,31.85210808
96113,96137,0.413776668,46.06161864
41366,41374,0.295184879,32.85998076
42805,42791,0.303074475,33.73825057
95509,95502,0.505678459,56.29212602
83009,83039,0.007308462,0.813577938
42807,42817,0.054790635,6.099293445
83011,44352,0.163779657,18.23195147
85649,85588,0.286419253,31.88419119
43441,41130,0.626030801,69.68974872
85653,85669,0.183438225,20.42034321
41374,41366,0.295184879,32.85998076
83017,83034,0.188642587,20.99969281
43446,41256,0.267530576,29.7815037
41682,41689,0.343173883,38.2021167
42817,42807,0.054790635,6.099293445
95521,95502,0.444709579,49.50507036
42818,42817,0.086356395,9.613193837
44482,44493,0.322605246,35.91241599
95522,95365,0.362036965,40.30195494
42821,42829,0.259704733,28.91033091
83024,82976,0.213235915,23.73742202
83024,82975,0.213235915,23.73742202
85664,45199,0.307489441,34.22972453
41689,41682,0.343173883,38.2021167
85669,45290,0.128178838,14.26886828
96137,44422,0.267481273,29.77601527
42829,42821,0.259704733,28.91033091
44493,44482,0.322605246,35.91241599
85671,45290,0.167374333,18.63211071
83034,83017,0.188642587,20.99969281
95535,95544,0.312757254,34.81613747
42832,45219,0.274198124,30.52373521
44496,44482,0.835491436,93.00690669
83036,83011,0.17774723,19.78682162
85676,85677,0.268203077,29.85636656
85677,85697,0.220225795,24.51553545
96144,96107,0.457669307,50.94774727
83039,83009,0.007308462,0.813577938
85681,85691,0.07728291,8.603133566
95544,95096,0.264488902,29.44290453
85685,45258,0.075012869,8.350432564
42844,42746,0.337357681,37.55465703
95550,95553,0.226273114,25.18872308
42847,42852,0.25492959,28.37876191
85691,85681,0.07728291,8.603133566
95553,95550,0.226273114,25.18872308
83053,83069,0.147851239,16.4587999
85692,45123,0.162216128,18.05789938
41716,41777,0.489165492,54.45390256
43482,43583,0.259877089,28.92951753
42852,42847,0.25492959,28.37876191
